feature	value
['RB', 'DT', 'NN']	0.0138888889
['DT', 'NN', 'TO']	0.0138888889
['NN', 'TO', 'VB']	0.0138888889
['TO', 'VB', 'VBN']	0.0138888889
['VB', 'VBN', 'DT']	0.0138888889
['VBN', 'DT', 'NN']	0.0138888889
['DT', 'NN', 'IN']	0.0138888889
['NN', 'IN', 'NN']	0.0138888889
['IN', 'NN', 'CC']	0.0138888889
['NN', 'CC', 'PRP']	0.0138888889
['CC', 'PRP', 'VBZ']	0.0138888889
['PRP', 'VBZ', 'IN']	0.0138888889
['VBZ', 'IN', 'PRP']	0.0138888889
['IN', 'PRP', 'VBP']	0.0138888889
['PRP', 'VBP', 'DT']	0.0138888889
['VBP', 'DT', 'NN']	0.0138888889
['DT', 'NN', 'DT']	0.0138888889
['NN', 'DT', 'NN']	0.0138888889
['DT', 'NN', 'VBZ']	0.0138888889
['NN', 'VBZ', 'VBG']	0.0138888889
['VBZ', 'VBG', 'IN']	0.0138888889
['VBG', 'IN', 'DT']	0.0138888889
['IN', 'DT', 'VBG']	0.0138888889
['DT', 'VBG', 'NN']	0.0138888889
['VBG', 'NN', 'IN']	0.0138888889
['NN', 'IN', 'MD']	0.0138888889
['IN', 'MD', 'RB']	0.0138888889
['MD', 'RB', 'VB']	0.0138888889
['RB', 'VB', 'PRP']	0.0555555556
['VB', 'PRP', 'IN']	0.0277777778
['PRP', 'IN', ',']	0.0277777778
['IN', ',', 'JJ']	0.0138888889
[',', 'JJ', 'NNS']	0.0138888889
['JJ', 'NNS', 'PRP']	0.0138888889
['NNS', 'PRP', 'VBP']	0.0138888889
['PRP', 'VBP', 'VBN']	0.0138888889
['VBP', 'VBN', 'VBP']	0.0138888889
['VBN', 'VBP', 'RB']	0.0138888889
['VBP', 'RB', 'VB']	0.0555555556
['IN', ',', 'VBP']	0.0138888889
[',', 'VBP', 'RB']	0.0416666667
['VB', 'PRP', 'VB']	0.0277777778
['PRP', 'VB', 'VB']	0.0138888889
['VB', 'VB', 'DT']	0.0138888889
['VB', 'DT', 'JJ']	0.0138888889
['DT', 'JJ', 'NN']	0.0138888889
['JJ', 'NN', 'PRP']	0.0138888889
['NN', 'PRP', 'RB']	0.0138888889
['PRP', 'RB', 'VBP']	0.0138888889
['RB', 'VBP', 'TO']	0.0138888889
['VBP', 'TO', 'VB']	0.0138888889
['TO', 'VB', 'NNP']	0.0138888889
['VB', 'NNP', ',']	0.0138888889
['NNP', ',', 'VBP']	0.0138888889
['RB', 'VB', ',']	0.0138888889
['VB', ',', 'VBP']	0.0138888889
['PRP', 'VB', 'RB']	0.0138888889
['VB', 'RB', ',']	0.0138888889
['RB', ',', 'RB']	0.0138888889
[',', 'RB', 'PRP']	0.0138888889
['RB', 'PRP', 'VBP']	0.0138888889
<sen_len_5-20>	0.7777777778
<sen_len_0-5>	0.2222222222
<average_word_length>	0.3445945946
<average_sen_length>	0.0822222222
<mtld_score>	0.49
<none>	0.3108108108
,	0.0675675676
the	0.0405405405
.	0.0
and	0.0135135135
of	0.0135135135
to	0.027027027
a	0.027027027
in	0.027027027
i	0.027027027
that	0.0
he	0.0
was	0.0
''	0.0
``	0.0
it	0.027027027
his	0.0
as	0.0
you	0.0135135135
had	0.0
;	0.0
with	0.0
for	0.0
not	0.0135135135
be	0.0540540541
but	0.0
is	0.0
her	0.0
at	0.0
on	0.0
have	0.0135135135
she	0.0
--	0.0
's	0.0
him	0.0
they	0.0135135135
'	0.0
by	0.0
said	0.0
which	0.0
my	0.0
were	0.0
this	0.0135135135
so	0.0
all	0.0
?	0.0
from	0.0
would	0.0
we	0.0
there	0.0
!	0.0
me	0.0
been	0.0
no	0.0
do	0.0540540541
one	0.0
or	0.0
if	0.0
their	0.0
will	0.0
when	0.0
who	0.0
an	0.0
them	0.0405405405
are	0.0
what	0.0
could	0.0135135135
up	0.0
out	0.0
your	0.0
n't	0.0675675676
now	0.0135135135
more	0.0
very	0.0
then	0.0
man	0.0
should	0.0
some	0.0
did	0.0
into	0.0
than	0.0
can	0.0
time	0.0
has	0.0
about	0.0
little	0.0
upon	0.0
well	0.0135135135
any	0.0
much	0.0
know	0.0405405405
like	0.027027027
such	0.0
our	0.0
before	0.0
see	0.027027027
other	0.0
down	0.0
only	0.0
think	0.0
after	0.0
